title, authors, journal, volume, page, year, doi, url, extra, img, img_flag
Odd-frequency pairing inherent in a Bogoliubov Fermi liquid, T. Miki; S.-T. Tamura; S. Iimura; S. Hoshino, Phys. Rev. B, 104, 094518, 2021, 10.1103/PhysRevB.104.094518, https://doi.org/10.1103/PhysRevB.104.094518, , ,0
Impurity effect on Bogoliubov Fermi surfaces: Analysis based on iron-based superconductors, T. Miki; H. Ikeda; S. Hoshino, Phys. Rev. B, 109, 094502, 2024, 10.1103/PhysRevB.109.094502, https://doi.org/10.1103/PhysRevB.109.094502, , ,0
Odd-frequency pairing of Bogoliubov quasiparticles in superconductor junctions, T. Miki; Y. Tanaka; S. Tamura; S. Hoshino, Phys. Rev. B, 110, 054517, 2024, 10.1103/PhysRevB.110.054517, https://doi.org/10.1103/PhysRevB.110.054517, , ,0
Quantification of electronic asymmetry: chirality and axiality in solids, T. Miki; H. Ikeda; M.-T. Suzuki; S. Hoshino, Phys. Rev. Lett.,134,226401,2025, 10.1103/PhysRevLett.134.226401, https://doi.org/10.1103/PhysRevLett.134.226401,"[Editors' Suggestion / <a href='https://physics.aps.org/articles/v18/113' target='_blank'>Featured in Physics</a> / <a href='https://promo.aps.org/prl2025' target='_blank'>PRL collection of the year 2025</a>]","../assets/img/PhysRevLett.134.226401.jpg",1
DiracBilinears.jl: A package for computing Dirac bilinears in solids, T. Miki; H.-Y. Chen; T. Koretsune; Y. Nomura, Comput. Phys. Commun., 317, 109857, 2025, 10.1016/j.cpc.2025.109857, https://doi.org/10.1016/j.cpc.2025.109857, , ,0
Symmetry-breaking perturbations in the Jahn-Teller-Hubbard model, N. Okada; T. Miki; Y. Nomura; P. Werner; S. Hoshino, Phys. Rev. B, 113, 024517, 2026, 10.1103/nwnn-4rx5, https://doi.org/10.1103/nwnn-4rx5, , ,0
Dirac bilinears in condensed matter physics: Relativistic correction for observables and conjugate electromagnetic fields, S. Hoshino; T. Miki; M.-T. Suzuki; H. Ikeda, Phys. Rev. B, 113, 115113, 2026, 10.1103/1zfs-f3s8, https://doi.org/10.1103/1zfs-f3s8, , ,0
Electron chirality and hydrodynamic helicity: Analysis in the atomic limit, T. Miki; Y. Kakinuma; M. Senami; M. Fukuda; M.-T. Suzuki; H. Ikeda; S. Hoshino, Phys. Rev. B, 113, 235127, 2026, 10.1103/ghyy-mynx, https://doi.org/10.1103/ghyy-mynx, "[TM and YK contributed equally to this work.]", ,0
Observation of g-wave altermagnetic multipole, R. Misawa; R. Oiwa; S. Kitou; T. Miki; M. Ezawa; W. Yun; R. Yamada; C. Koyama; J. A. Rodríguez-Velamazán; K. K. Kolincio; N. Qureshi; E. Zhakina; Y. Nakamura; J. Masell; I. Belopolski; T. Arima; Y. Nomura; S. Hayami; M. Hirschberger, arXiv:2609.01969, , , , 10.48550/arXiv.2609.01969, https://doi.org/10.48550/arXiv.2609.01969, , ,0
